codigo_iccs;subtipo_objeto_robado;nombre_objeto;cantidad;calibre;clase_arma;calidad_de;fabricacion;fecha_evento;hora_evento;tipo_lugar;lugar;codigo_zona;codigo_distrito;codigo_circuito;codigo_subcircuito;nombre_zona;nombre_distrito;nombre_circuito;nombre_subcircuito;codigo_provincia;codigo_canton;codigo_parroquia;nombre_provincia;nombre_canton;nombre_parroquia;tipo_delito;delito;modalidad
05.02.015;ARMA DE FUEGO;REVÓLVERES;1;.38;TIRO A TIRO;APREHENDIDO;ARTESANAL;05/01/2024;14:00;ÁREA PRIVADA;ESPACIO PRIVADO;ZONA 5;09D17;09D17C13;09D17C13S01;ZONA 5;MILAGRO;CHOBO;CHOBO 1;9;910;91051;GUAYAS;MILAGRO;CHOBO;DELITOS CONTRA EL DERECHO A LA PROPIEDAD;ROBO;SIN_DATO
05.02.015;ARMA DE FUEGO;REVÓLVERES;1;.22;TIRO A TIRO;APREHENDIDO;ARTESANAL;06/01/2024;9:24;ÁREA PRIVADA;ESPACIO PRIVADO;ZONA 6;01D02;01D02C12;01D02C12S01;ZONA 6;CUENCA SUR;BAÑOS;BAÑOS 1;1;101;10151;AZUAY;CUENCA;BAÑOS;DELITOS CONTRA LA SEGURIDAD PÚBLICA;TENENCIA Y PORTE DE ARMAS;SIN_DATO
05.02.006;ARMA DE FUEGO;CARTUCHERAS;1;OTRO;TIRO A TIRO;INCAUTADA;IMPORTADA;06/01/2024;15:45;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 5;09D20;09D20C05;09D20C05S01;ZONA 5;SALITRE;JUNQUILLAL;JUNQUILLAL 1;9;919;91953;GUAYAS;SALITRE;JUNQUILLAL;DELITOS CONTRA LA SEGURIDAD PÚBLICA;TENENCIA Y PORTE DE ARMAS;SIN_DATO
05.02.007;ARMA DE FUEGO;ESCOPETA;1;OTRO;TIRO A TIRO;ABANDONADO;ARTESANAL;06/01/2024;18:00;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 1;21D02;21D02C07;21D02C07S01;ZONA 1;LAGO AGRIO;PACAYACU;PACAYACU 1;21;2101;210152;SUCUMBIOS;LAGO AGRIO;DURENO;DELITOS CONTRA LA SEGURIDAD PÚBLICA;TENENCIA Y PORTE DE ARMAS;SIN_DATO
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SEMI AUTOMÁTICO;APREHENDIDO;IMPORTADA;06/01/2024;16:30;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 4;13D02;13D02C05;13D02C05S01;ZONA 4;MANTA;UNIVERSIDAD;UNIVERSIDAD 1;13;1308;130850;MANABI;MANTA;MANTA;DELITOS CONTRA LA SEGURIDAD PÚBLICA;TENENCIA Y PORTE DE ARMAS;SIN_DATO
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;AUTOMÁTICO;APREHENDIDO;IMPORTADA;06/01/2024;16:30;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 4;13D02;13D02C05;13D02C05S01;ZONA 4;MANTA;UNIVERSIDAD;UNIVERSIDAD 1;13;1308;130850;MANABI;MANTA;MANTA;DELITOS CONTRA LA SEGURIDAD PÚBLICA;TENENCIA Y PORTE DE ARMAS;SIN_DATO
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SEMI AUTOMÁTICO;APREHENDIDO;IMPORTADA;06/01/2024;15:00;ÁREA PRIVADA;ESPACIO PRIVADO;ZONA 8;09D04;09D04C04;09D04C04S02;ZONA 8;PORTETE;PORTETE;PORTETE 2;9;901;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;TERRORISMO Y SU FINANCIACIÓN;TERRORISMO;SIN_DATO
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SEMI AUTOMÁTICO;APREHENDIDO;IMPORTADA;06/01/2024;15:00;ÁREA PRIVADA;ESPACIO PRIVADO;ZONA 8;09D04;09D04C04;09D04C04S02;ZONA 8;PORTETE;PORTETE;PORTETE 2;9;901;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;TERRORISMO Y SU FINANCIACIÓN;TERRORISMO;SIN_DATO
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SEMI AUTOMÁTICO;ABANDONADO;IMPORTADA;06/01/2024;18:30;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 8;09D06;09D06C02;09D06C02S06;ZONA 8;FLORIDA;MARTHA DE ROLDOS;MARTHA DE ROLDOS 6;9;901;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;DELITOS CONTRA LA SEGURIDAD PÚBLICA;ARMAS DE FUEGO, MUNICIONES Y EXPLOSIVOS NO AUTORIZADOS;SIN_DATO
05.02.007;ARMA DE FUEGO;ESCOPETA;1;OTRO;TIRO A TIRO;APREHENDIDO;ARTESANAL;06/01/2024;16:30;ÁREA PRIVADA;ESPACIO PRIVADO;ZONA 5;09D12;09D12C04;09D12C04S02;ZONA 5;NARANJAL BALAO;NARANJAL SUR;NARANJAL SUR 2;9;911;91150;GUAYAS;NARANJAL;NARANJAL;DELITOS CONTRA EL DERECHO A LA PROPIEDAD;ROBO A PERSONAS;ASALTO
